name,seasonal,style,keys,desc,abv,ibu,location,location_id
Summer IPA,3,Summer IPA,"Summer IPA, Pale, Munich, Wheat, Caramel, Simcoe, Columbus, Chinook, Cascade, Centennial, Mosaic, Hop forward with citrus fruit aromas; notes of orange and grapefruit, with a medium light body and slightly bitter finish. Perfect for the long summer days.","Pale, Munich, Wheat, Caramel, Simcoe, Columbus, Chinook, Cascade, Centennial, Mosaic, Hop forward with citrus fruit aromas; notes of orange and grapefruit, with a medium light body and slightly bitter finish. Perfect for the long summer days.",6.5,50,Reuben's Brews,10
Blimey That's Bitter,1,Triple IPA,"Triple IPA, Pale, Caramel, Munich, Wheat, Citra, Simcoe, Amarillo, Chinook, An intense citrus, pine, and tropical aroma is followed by a smooth medium-full mouthfeel. Using ludicrous amounts of hops we focus on hop flavor and aroma. The vast majority of hops are added late in the boil for a delightfully bitter brew. ","Pale, Caramel, Munich, Wheat, Citra, Simcoe, Amarillo, Chinook, An intense citrus, pine, and tropical aroma is followed by a smooth medium-full mouthfeel. Using ludicrous amounts of hops we focus on hop flavor and aroma. The vast majority of hops are added late in the boil for a delightfully bitter brew. ",10.5,80,Reuben's Brews,10
Norwegian Scream,0,Ale,"Ale, Norwegian Farmhouse style ale with juniper berries and Kveik yeast. Very clean and crisp.",Norwegian Farmhouse style ale with juniper berries and Kveik yeast. Very clean and crisp.,5.9,,Tin Dog Brewing,12
WildCard,0,Ale,"Ale, Funky, slightly acidic, blended Wild ale. Easy drinking.","Funky, slightly acidic, blended Wild ale. Easy drinking.",4.9,,Tin Dog Brewing,12
Wild Brigade,0,Amber,"Amber, Aged wild Amber with roasted plum note and a hoppy finish.",Aged wild Amber with roasted plum note and a hoppy finish.,7.6,,Tin Dog Brewing,12
Lapine,0,Hybrid,"Hybrid, Wine beer hybrid with Merlot grapes. Jammy, sweet, sour with tannins. ","Wine beer hybrid with Merlot grapes. Jammy, sweet, sour with tannins. ",6.1,,Tin Dog Brewing,12
Koala Fodder,0,IPA,"IPA, Two beers blended. One used a yeast that produces eucalyptus, cardamom and cinnamon notes. The other provided bittering components. The blended result not possible in a single brewed beer. ","Two beers blended. One used a yeast that produces eucalyptus, cardamom and cinnamon notes. The other provided bittering components. The blended result not possible in a single brewed beer. ",6.2,,Tin Dog Brewing,12
DogLost Pilsner,0,Pilsner,"Pilsner, Authentic German style pilsner.",Authentic German style pilsner.,5.1,,Tin Dog Brewing,12
Ariana Saison,2,Saison,"Saison, A lighter Saison for spring. Featuring thirst quenching lemon notes to brighten any day.",A lighter Saison for spring. Featuring thirst quenching lemon notes to brighten any day.,5.8,,Tin Dog Brewing,12
Bericluster,0,Sour,"Sour, Well balanced Boysenberry sour with lemon zest.",Well balanced Boysenberry sour with lemon zest.,5.8,,Tin Dog Brewing,12
On A Sour Note,0,Sour,"Sour, Blended sour dry hopped with Mosaic hops. Tart with notes of melon. ",Blended sour dry hopped with Mosaic hops. Tart with notes of melon. ,6,,Tin Dog Brewing,12
Black Tripel,0,Tripel,"Tripel, Tripel made with midnight wheat and Belgian ale yeast. Yeast gives it berry notes along with roasted notes from malt.",Tripel made with midnight wheat and Belgian ale yeast. Yeast gives it berry notes along with roasted notes from malt.,9.3,,Tin Dog Brewing,12
Mild Animals,0,Ale,"Ale, English style dark mild ale. Notes of toasted biscuit & light roast coffee on the nose with a hint of plum-like dark fruit in the background. Light body and low carbonation make this a classic quencher. Semi-sweet on the palate with flavors of toast and baker’s chocolate. Finishes with a dry and mineral-like tang with lingering notes of fruit-leather.",English style dark mild ale. Notes of toasted biscuit & light roast coffee on the nose with a hint of plum-like dark fruit in the background. Light body and low carbonation make this a classic quencher. Semi-sweet on the palate with flavors of toast and baker’s chocolate. Finishes with a dry and mineral-like tang with lingering notes of fruit-leather.,4,,Best of Hands,14
Hot Takes,0,Double IPA,"Double IPA, Hopped with Citra and Enigma, this beer displays raspberry jam & papaya marmalade on the nose. Dank and spicy hop earthiness on the palate with notes of red berries & pine needles mid palate. Rose-like alcohol warmth & grapefruit pith on the dry bitter finish.","Hopped with Citra and Enigma, this beer displays raspberry jam & papaya marmalade on the nose. Dank and spicy hop earthiness on the palate with notes of red berries & pine needles mid palate. Rose-like alcohol warmth & grapefruit pith on the dry bitter finish.",8.5,,Best of Hands,14
Goza Butler,0,Gose,"Gose, Gose Style Ale W/ Coriander & Pink Peppercorns. Light stone ground cracker malt aromas with mineral undertones and apparent fruity-floral peppercorn notes on the nose. Bready notes on the palate accompanied by the floral-nutty flavors of the coriander. Sea salt salinity emerges mid-palate to balance the malts with a mineral crispness and a savory zing. Finishes with a pleasant tartness akin to fresh squeezed lemon juice with notes of cereal grains and a flourish of peppercorn spice.",Gose Style Ale W/ Coriander & Pink Peppercorns. Light stone ground cracker malt aromas with mineral undertones and apparent fruity-floral peppercorn notes on the nose. Bready notes on the palate accompanied by the floral-nutty flavors of the coriander. Sea salt salinity emerges mid-palate to balance the malts with a mineral crispness and a savory zing. Finishes with a pleasant tartness akin to fresh squeezed lemon juice with notes of cereal grains and a flourish of peppercorn spice.,4.7,,Best of Hands,14
Wordless Chorus,0,IPA,"IPA, New England. Featuring Citra, Mosaic, and Amarillo hops, this beer displays tropical aromas of papaya and guava. Flaked oats, flaked rye, and wheat make for a pillowy smooth body loaded with juicy notes of guava and cannabis-like dankness. Semi sweet cereal grain enters mid palate with a hint of vanilla. Resin and pine help to dry out the bitter-sweet finish.","New England. Featuring Citra, Mosaic, and Amarillo hops, this beer displays tropical aromas of papaya and guava. Flaked oats, flaked rye, and wheat make for a pillowy smooth body loaded with juicy notes of guava and cannabis-like dankness. Semi sweet cereal grain enters mid palate with a hint of vanilla. Resin and pine help to dry out the bitter-sweet finish.",6,,Best of Hands,14
Vaquero Country,0,IPA,"IPA, Pineapple & coconut dominate the nose with underlying hints of cedar, tropical fruit, and blackberry. Lucious juicy body with flavors of nectarine and mango which meld into dank-herbal notes & grapefruit pith. Notes of evergreen and a hint of menthol on the long, dry sticky-resinous finish.","Pineapple & coconut dominate the nose with underlying hints of cedar, tropical fruit, and blackberry. Lucious juicy body with flavors of nectarine and mango which meld into dank-herbal notes & grapefruit pith. Notes of evergreen and a hint of menthol on the long, dry sticky-resinous finish.",6,,Best of Hands,14
Sons of Ivaldi,0,IPA,"IPA, New England. NEIPA featuring a Norwegian Kveik yeast strain. This extremely versatile yeast is magnificent for the NEIPA style of IPA, as even before we dry hopped with generous amounts of Simcoe and Mosaic this beer was exhibiting insane notes of over-ripe mango and papaya. The hops accentuate the fruit juice qualities of the beer and lend their classic notes of earthiness and pine. Everything is kept in check by the nutty, spicy maltiness provided by Skagit Valley Malting pale triticale, and the beautiful burnished orange color is the result of a small amount of crystal triticale in the grist.","New England. NEIPA featuring a Norwegian Kveik yeast strain. This extremely versatile yeast is magnificent for the NEIPA style of IPA, as even before we dry hopped with generous amounts of Simcoe and Mosaic this beer was exhibiting insane notes of over-ripe mango and papaya. The hops accentuate the fruit juice qualities of the beer and lend their classic notes of earthiness and pine. Everything is kept in check by the nutty, spicy maltiness provided by Skagit Valley Malting pale triticale, and the beautiful burnished orange color is the result of a small amount of crystal triticale in the grist.",7,,Best of Hands,14
"All Documented, All True",0,Pale Ale,"Pale Ale, Classic American pale ale featuring Cascade and El Dorado hops. Light in body with aromas of pear and mango. The palate follows the nose with additional grapefruit-like citrus flavors and hints of grass. Quick, dry refreshing finish.","Classic American pale ale featuring Cascade and El Dorado hops. Light in body with aromas of pear and mango. The palate follows the nose with additional grapefruit-like citrus flavors and hints of grass. Quick, dry refreshing finish.",5,,Best of Hands,14
The Baltic Tiger,0,Porter,"Porter, A lagered porter incorporating cold steeped roasted grains for maximum aroma and flavor extraction, and classic Styrian Goldings hops. Scents of dark chocolate covered figs and stone fruit on the nose. The palate follows, with notes of molasses, baking spices, and wood-like tannins. Hints of espresso and alcohol warmth on the decadent finish.","A lagered porter incorporating cold steeped roasted grains for maximum aroma and flavor extraction, and classic Styrian Goldings hops. Scents of dark chocolate covered figs and stone fruit on the nose. The palate follows, with notes of molasses, baking spices, and wood-like tannins. Hints of espresso and alcohol warmth on the decadent finish.",8,,Best of Hands,14
Nettleocalypse,0,Saison,"Saison, Stinging Nettle Table Saison. This saison displays peppery phenols and a rich earthiness on the nose with a hint of citrus rind. Floral notes up front on the palate give way to a dry grainy maltiness. Citrus and black pepper dominate the dry finish while a spicy-earthiness lingers.",Stinging Nettle Table Saison. This saison displays peppery phenols and a rich earthiness on the nose with a hint of citrus rind. Floral notes up front on the palate give way to a dry grainy maltiness. Citrus and black pepper dominate the dry finish while a spicy-earthiness lingers.,4,,Best of Hands,14
Freestone Sour,0,Sour,"Sour, Berliner Weisse W/ Apricot & Peach. This apricot and peach Berliner Weisse exhibits notes of stone fruit and sweet cereal grain on the nose. Sweet and juicy apricot and peach flavors dominate the palate with a hint of musky tartness from the apricot emerging midway. Clean lactic acid sourness unfolds for a refreshing, tart, semi-sweet finish.","Berliner Weisse W/ Apricot & Peach. This apricot and peach Berliner Weisse exhibits notes of stone fruit and sweet cereal grain on the nose. Sweet and juicy apricot and peach flavors dominate the palate with a hint of musky tartness from the apricot emerging midway. Clean lactic acid sourness unfolds for a refreshing, tart, semi-sweet finish.",4.5,,Best of Hands,14
Mind Crawler,0,Stout,"Stout, Oatmeal Rye Stout. A stronger variation of a traditional English style oatmeal stout. Flaked oats & flaked rye add roundness of body and nuance of flavor to a beer displaying notes of bittersweet chocolate, restrained nuttiness, delicate spice, and a hint of charcoal. American Azacca hops add subtle spicy-woody undertones which augment the rye for a balanced stout with an off-dry finish.","Oatmeal Rye Stout. A stronger variation of a traditional English style oatmeal stout. Flaked oats & flaked rye add roundness of body and nuance of flavor to a beer displaying notes of bittersweet chocolate, restrained nuttiness, delicate spice, and a hint of charcoal. American Azacca hops add subtle spicy-woody undertones which augment the rye for a balanced stout with an off-dry finish.",6,,Best of Hands,14
Whisper of Wit,0,Witbier,"Witbier, Belgian style witbier W/ elderflower. Notes of sweet cereal grain meld with the lychee-like character of the elderflower and coriander spice with a hint of pepper in the background on the nose. Palate follows the bouquet with notes of vanilla and sweet orange peel emerging. Some light earthy-spicy hop flavor enters midway with a whip-crack dry mineral finish.",Belgian style witbier W/ elderflower. Notes of sweet cereal grain meld with the lychee-like character of the elderflower and coriander spice with a hint of pepper in the background on the nose. Palate follows the bouquet with notes of vanilla and sweet orange peel emerging. Some light earthy-spicy hop flavor enters midway with a whip-crack dry mineral finish.,4.5,,Best of Hands,14
Vodka Barrel Aged Golden Ale 2020,5,Ale,"Ale, 5 Year Anniversary Special Release — Aged 9 months in Glass Vodka Selkirk oak barrels. A complex beer with fruity white wine flavors reminiscent of Gewurztraminer or Moscato, including apricot, peach, and honey. Medium-light body and very restrained hop character. The charred oak barrel flavors are prominent, as is the vodka/alcohol presence, especially in the nose. Styrian Golding, Saaz, Pilsner Malt","5 Year Anniversary Special Release — Aged 9 months in Glass Vodka Selkirk oak barrels. A complex beer with fruity white wine flavors reminiscent of Gewurztraminer or Moscato, including apricot, peach, and honey. Medium-light body and very restrained hop character. The charred oak barrel flavors are prominent, as is the vodka/alcohol presence, especially in the nose. Styrian Golding, Saaz, Pilsner Malt",8.6,28,Counterbalance Brewing Co,15
Abigale Blonde Ale,0,Blonde,"Blonde, A light, clear Kolsch-style ale with a champagne-like mouthfeel, fruity nose and refreshing finish. — Washington Beer Awards Winner! Pale, Munich, White Wheat Perle, Hallertauer","A light, clear Kolsch-style ale with a champagne-like mouthfeel, fruity nose and refreshing finish. — Washington Beer Awards Winner! Pale, Munich, White Wheat Perle, Hallertauer",5.2,30,Counterbalance Brewing Co,15
Marsquake Hazy IPA,0,Hazy IPA,"Hazy IPA, This single hop hazy IPA is heavily dosed with Idaho7 hops in the whirlpool and in two dry hop additions. Can you say single hop, double dry hop IPA? Flavors of pineapple and apricot balanced against a bit of peppery spice. Idaho7, Pale, Honey Malt, Carapils, Flaked Oats, Flaked Wheat","This single hop hazy IPA is heavily dosed with Idaho7 hops in the whirlpool and in two dry hop additions. Can you say single hop, double dry hop IPA? Flavors of pineapple and apricot balanced against a bit of peppery spice. Idaho7, Pale, Honey Malt, Carapils, Flaked Oats, Flaked Wheat",7.1,53,Counterbalance Brewing Co,15
Kushetka Imperial Stout,0,Imperial Stout,"Imperial Stout, A big, bold beer with lots of roasted malts and just the right hop balance Pale, Munich, Flaked Barley, Black Patent, Roasted Barley, Chocolate Malt","A big, bold beer with lots of roasted malts and just the right hop balance Pale, Munich, Flaked Barley, Black Patent, Roasted Barley, Chocolate Malt",8.9,65,Counterbalance Brewing Co,15
Counterbalance IPA,0,IPA,"IPA, Northwest IPA style. Citrusy, slightly dank hop character with a medium caramel malt body and spruce on the finish. Pale, Crystal, Carapils  Simcoe, Amarillo, Centennial, Cascade, Citra, Columbus","Northwest IPA style. Citrusy, slightly dank hop character with a medium caramel malt body and spruce on the finish. Pale, Crystal, Carapils  Simcoe, Amarillo, Centennial, Cascade, Citra, Columbus",6.8,62,Counterbalance Brewing Co,15
Multipass IPA,0,IPA,"IPA, Mosaic, Loral, Simcoe, Columbus, Pale, Munich, Wheat, Modern NW IPA. Light & crisp malt bill with notes of pear, tropical fruit, and white pepper.","Mosaic, Loral, Simcoe, Columbus, Pale, Munich, Wheat, Modern NW IPA. Light & crisp malt bill with notes of pear, tropical fruit, and white pepper.",6.7,66,Counterbalance Brewing Co,15
Swing Bridge 4: Ummagumma Northwest IPA,0,IPA,"IPA, Cascade, Centennial, Pale, Cara-Pils, Caramel, Midnight Wheat, A new take on a Northwest IPA featuring Cascade and Centennial hops with a light caramel malt character.","Cascade, Centennial, Pale, Cara-Pils, Caramel, Midnight Wheat, A new take on a Northwest IPA featuring Cascade and Centennial hops with a light caramel malt character.",6.6,45,Counterbalance Brewing Co,15
Escape Velocity Pale Ale,0,Pale Ale,"Pale Ale, Amarillo, Citra, Palisade, Columbus, Pale, Muich, Carapils, Lemon citrus and floral hops play with the light, biscuit malts to create a refreshingly easy drinking pale ale.","Amarillo, Citra, Palisade, Columbus, Pale, Muich, Carapils, Lemon citrus and floral hops play with the light, biscuit malts to create a refreshingly easy drinking pale ale.",5.8,35,Counterbalance Brewing Co,15
Reference Guide Hazy Pale Ale,0,Pale Ale,"Pale Ale, This reference guide contains delicious pale ale for your enjoyment. This ale is light, dry, hazy, and very refreshing. For more advanced instructions and information see the online user guide at counterbalancebeer.com. Idaho7, Cascade, Citra, Columbus, Pale, Pilsen, Flaked Wheat, Flaked Oats, Flaked Barley","This reference guide contains delicious pale ale for your enjoyment. This ale is light, dry, hazy, and very refreshing. For more advanced instructions and information see the online user guide at counterbalancebeer.com. Idaho7, Cascade, Citra, Columbus, Pale, Pilsen, Flaked Wheat, Flaked Oats, Flaked Barley",5,36,Counterbalance Brewing Co,15
Pilsner,0,Pilsner,"Pilsner, Sterling, Cascade, Pilsner, Carapils, Light Czech-style lager with a dry, biscuit malt profile and a smidge of bright Cascadian hops to give it an essence of classic NW citrus.","Sterling, Cascade, Pilsner, Carapils, Light Czech-style lager with a dry, biscuit malt profile and a smidge of bright Cascadian hops to give it an essence of classic NW citrus.",4.8,37,Counterbalance Brewing Co,15
Megatron Saison,0,Saison,"Saison, Loral Dry-Hopped, Hallertauer, Styrian Goldings, Sorachi Ace, Pilsner, Carapils, Caravienne, Dry hopped with Loral hops, with a medium-light body with some earthiness and minerality, dry refreshing mouthfeel with flavors of lemon and clove.","Loral Dry-Hopped, Hallertauer, Styrian Goldings, Sorachi Ace, Pilsner, Carapils, Caravienne, Dry hopped with Loral hops, with a medium-light body with some earthiness and minerality, dry refreshing mouthfeel with flavors of lemon and clove.",6.4,26,Counterbalance Brewing Co,15
Samsparilla Stout,5,Stout,"Stout, Pale Malt, Roasted Barley, Black Malt, Caramel, Indian Sarsaparilla, Vanilla Beans","Pale Malt, Roasted Barley, Black Malt, Caramel, Indian Sarsaparilla, Vanilla Beans",6,40,Counterbalance Brewing Co,15
PALE ALE,0,Ale,"Ale, Skagit Valley grown Copeland malt and a good dose of Munich malt create the perfect canvas for highlighting an array of ever-changing hop varieties. We’ve dedicated our pale ale to showcase a variety of unique and delicious hops on a rotating basis. ",Skagit Valley grown Copeland malt and a good dose of Munich malt create the perfect canvas for highlighting an array of ever-changing hop varieties. We’ve dedicated our pale ale to showcase a variety of unique and delicious hops on a rotating basis. ,4.8,,Lowercase Brewing,16
BROWN ALE,0,Ale,"Ale, Not your typical brown ale, behold a beer that dark beer drinkers can unite behind. Our take uses a combination of Skagit Valley grown Copeland malt, toasted malts, Nugget hops and cold-brewed coffee to create a truly unique brew.  This is not about adding new flavors, but taking existing flavors and turning up the dial… great beer meeting great coffee.","Not your typical brown ale, behold a beer that dark beer drinkers can unite behind. Our take uses a combination of Skagit Valley grown Copeland malt, toasted malts, Nugget hops and cold-brewed coffee to create a truly unique brew.  This is not about adding new flavors, but taking existing flavors and turning up the dial… great beer meeting great coffee.",5.4,,Lowercase Brewing,16
EXTRA SPECIAL BITTER,0,ESB,"ESB, Our Extra Special Bitter is anchored by UK-grown Maris Otter malt. This ESB utilizes the US Golding hop to create a delightful beer that compliments any dish. Despite the bitter moniker, this beer drinks more malty than hoppy. It has a ruby color with a great, almost fennel-like, hop finish. It’s a bit more complex than your average brew, but still extremely drinkable.","Our Extra Special Bitter is anchored by UK-grown Maris Otter malt. This ESB utilizes the US Golding hop to create a delightful beer that compliments any dish. Despite the bitter moniker, this beer drinks more malty than hoppy. It has a ruby color with a great, almost fennel-like, hop finish. It’s a bit more complex than your average brew, but still extremely drinkable.",5.2,,Lowercase Brewing,16
STRATA INDIA PALE ALE,0,IPA,"IPA, A former experimental hop developed at Oregon State University, Strata quickly became one of our very favorite hops. Front loaded with citrus flavor, this tropical beauty remains approachable ‘til the end. Top it all o with an aroma some may find curiously familiar.","A former experimental hop developed at Oregon State University, Strata quickly became one of our very favorite hops. Front loaded with citrus flavor, this tropical beauty remains approachable ‘til the end. Top it all o with an aroma some may find curiously familiar.",6,,Lowercase Brewing,16
RYE INDIA PALE ALE,0,IPA,"IPA, Not intended to be a palate wrecker, we opted for a more subtle approach to this popular style. Skagit Valley grown Copeland malt is partnered with a large amount of rye to create a slightly spicy, dry backbone. Combine this with both Mount Hood and Centennial hops and you a get an extremely approachable, floral IPA – all while keeping the overall bitterness in check. ","Not intended to be a palate wrecker, we opted for a more subtle approach to this popular style. Skagit Valley grown Copeland malt is partnered with a large amount of rye to create a slightly spicy, dry backbone. Combine this with both Mount Hood and Centennial hops and you a get an extremely approachable, floral IPA – all while keeping the overall bitterness in check. ",6.3,,Lowercase Brewing,16
MEXICAN LAGER,0,Lager,"Lager, South Park is a neighborhood of diversity and this beer is dedicated to our neighborhood. Brewed in the style of a Vienna Lager, we use a traditional German lager yeast and take the time needed to properly create this amber beauty. A bit darker than you might expect and featuring German grown malts, this beer is everything you’ll find in a mass produced lager...it just tastes better. ","South Park is a neighborhood of diversity and this beer is dedicated to our neighborhood. Brewed in the style of a Vienna Lager, we use a traditional German lager yeast and take the time needed to properly create this amber beauty. A bit darker than you might expect and featuring German grown malts, this beer is everything you’ll find in a mass produced lager...it just tastes better. ",4.5,,Lowercase Brewing,16
ITALIAN PILSNER,0,Pilsner,"Pilsner, Modeled after Italian brewery Birrificio Italiano’s Tipopils, this beer is light and crisp with unique floral undertones. Multiple dry-hop additions as well as a careful attention to water input and fermentation temperature set this new-world pilsner apart from the rest of the world’s favorite beer style. ","Modeled after Italian brewery Birrificio Italiano’s Tipopils, this beer is light and crisp with unique floral undertones. Multiple dry-hop additions as well as a careful attention to water input and fermentation temperature set this new-world pilsner apart from the rest of the world’s favorite beer style. ",4.9,,Lowercase Brewing,16
The Dreamer,5,Ale,"Ale, This Belgian Strong Golden Ale has notes of candied pineapple and is dry-hopped with Amarillos and Chinooks for a bit of NW character.",This Belgian Strong Golden Ale has notes of candied pineapple and is dry-hopped with Amarillos and Chinooks for a bit of NW character.,8.7,33,Jelly Fish Brewing Company,17
Cerveza de los Muertos,5,Ale,"Ale, This Strong Ale is an ode to Pan de los Muertos, a sweet scented cornbread served during Dia de los Muertos festivities. It has additions of Mexican chocolate, orange peel and anise seed.","This Strong Ale is an ode to Pan de los Muertos, a sweet scented cornbread served during Dia de los Muertos festivities. It has additions of Mexican chocolate, orange peel and anise seed.",8,22,Jelly Fish Brewing Company,17
Old Corrosive No 8,5,Barleywine,"Barleywine, This behemoth Barleywine brings huge notes of caramel, toffee and dried fruit to the party. Warning: Habit Forming!","This behemoth Barleywine brings huge notes of caramel, toffee and dried fruit to the party. Warning: Habit Forming!",14,30,Jelly Fish Brewing Company,17
Chatter Creek Rosecco Hard Cider,5,Cider,"Cider, Chatter Creek brings you, Rosecco, a rose hard cider with soft notes of mixed berries. It’s super yum!","Chatter Creek brings you, Rosecco, a rose hard cider with soft notes of mixed berries. It’s super yum!",6.5,,Jelly Fish Brewing Company,17
Smack IPA,0,IPA,"IPA, Smack is the term for a group of Jellyfish (factoid). This IPA is balanced at its core. It’ll greet you with peaches, pine and bright citrus.","Smack is the term for a group of Jellyfish (factoid). This IPA is balanced at its core. It’ll greet you with peaches, pine and bright citrus.",7,70,Jelly Fish Brewing Company,17
Stinger Imperial IPA,5,IPA,"IPA, This Imperial IPA is highlighted by subtle notes of pine, citrus and a bite of marmalade","This Imperial IPA is highlighted by subtle notes of pine, citrus and a bite of marmalade",8.2,86,Jelly Fish Brewing Company,17
Spanish Bomb Saffron & Lemon IPA,5,IPA,"IPA, In honor of International Clash Day, we’ve done it again! This bodacious IPA is highlighted by bold additions of Saffron and Lemon. The result is an explosion of flavor with very firm bitterness. It’s rockin’!","In honor of International Clash Day, we’ve done it again! This bodacious IPA is highlighted by bold additions of Saffron and Lemon. The result is an explosion of flavor with very firm bitterness. It’s rockin’!",7.2,80,Jelly Fish Brewing Company,17
Hydra Pils,0,Pilsner,"Pilsner, Hydra is a classic pilsner with a clean malt body and a crisp hoppy finish. An all-German grain bill, and additions of Czech, French and German hops give this lager a truly continental lineage! Hydra will move into our permanent rotation. It’s very nice!","Hydra is a classic pilsner with a clean malt body and a crisp hoppy finish. An all-German grain bill, and additions of Czech, French and German hops give this lager a truly continental lineage! Hydra will move into our permanent rotation. It’s very nice!",5.4,26,Jelly Fish Brewing Company,17
Cannonball Oatmeal Porter,0,Porter,"Porter, Flaked oats and a variety of roasted malts contribute to the silky-smooth mouthfeel found in this robust American Porter. This beer has become an instant classic at Jellyfish!",Flaked oats and a variety of roasted malts contribute to the silky-smooth mouthfeel found in this robust American Porter. This beer has become an instant classic at Jellyfish!,6.2,33,Jelly Fish Brewing Company,17
Tickle Monster,5,Porter,"Porter, This behemoth with torture you with kindness. It’s big and full of huge malt and chocolate character. It’s our baby!",This behemoth with torture you with kindness. It’s big and full of huge malt and chocolate character. It’s our baby!,10,50,Jelly Fish Brewing Company,17
Planktonic Red,0,Red Ale,"Red Ale, Planktonic is a very bright NW Red with 8 hop varietals, a whisper of hibiscus and a vibrantly clean finish.","Planktonic is a very bright NW Red with 8 hop varietals, a whisper of hibiscus and a vibrantly clean finish.",6,57,Jelly Fish Brewing Company,17
Saison Memoir,0,Saison,"Saison, This light ale is very dry, and is blended with our barrel-aged, wild-yeast fermented Saison. It brings soft peppercorn, bright lemon, and funk to the party.","This light ale is very dry, and is blended with our barrel-aged, wild-yeast fermented Saison. It brings soft peppercorn, bright lemon, and funk to the party.",5.3,35,Jelly Fish Brewing Company,17
Saison Sexy ,5,Saison,"Saison, Barrel-fermented Saison, conditioned in Red Wine barrels with Fresh Hops (Centennials & Cascades). ","Barrel-fermented Saison, conditioned in Red Wine barrels with Fresh Hops (Centennials & Cascades). ",6.5,60,Jelly Fish Brewing Company,17
Sour Suzie 16 ~ Kettle Sour Series,0,Sour ,"Sour , The 16th edition of our Kettle Sour Series features Black Currant & Apples. It’s a bright, clean and mid-tart sour with soft  juiciness and delightful aroma. ","The 16th edition of our Kettle Sour Series features Black Currant & Apples. It’s a bright, clean and mid-tart sour with soft  juiciness and delightful aroma. ",4.6,20,Jelly Fish Brewing Company,17
Reddoubt Red Ale,0,Amber,"Amber, Redoubt Red is our interpretation on an American Red/Amber ale, bringing a nice ruby-colored beer. The aroma and flavor is dominated by the hops, with a nice blend of complex fruit and spice notes.","Redoubt Red is our interpretation on an American Red/Amber ale, bringing a nice ruby-colored beer. The aroma and flavor is dominated by the hops, with a nice blend of complex fruit and spice notes.",5.3,35,Northwest Peaks Brewery,18
White Horse,0,Barley Wine,"Barley Wine, Aged for 9 months on Brettanomyces, this unique ale balances a boozy sweetness with a funky wild yeast twist.","Aged for 9 months on Brettanomyces, this unique ale balances a boozy sweetness with a funky wild yeast twist.",9.5,0,Northwest Peaks Brewery,18
Gose,0,Gose,"Gose, Light-bodied, tart, and a little sour, this refreshing beer exhibits notes of coriander and raspberry, with a balanced saltiness.","Light-bodied, tart, and a little sour, this refreshing beer exhibits notes of coriander and raspberry, with a balanced saltiness.",5,0,Northwest Peaks Brewery,18
Surprise Gruit,0,Gruit,"Gruit, Brewed without hops, this flavorful not-a-beer features Queen Anne’s Lace, Juniper Berries, and Rose Petals, giving it a perceived bitterness and floralness unique to the style. Called “Surprise” because we were so surprised how delicious it was.","Brewed without hops, this flavorful not-a-beer features Queen Anne’s Lace, Juniper Berries, and Rose Petals, giving it a perceived bitterness and floralness unique to the style. Called “Surprise” because we were so surprised how delicious it was.",5.7,10,Northwest Peaks Brewery,18
Challenger IPA,0,IPA,"IPA, Challenger IPA is a nice drinkable hop forward IPA featuring citrus and stone fruits on a solid, medium bodied backbone.","Challenger IPA is a nice drinkable hop forward IPA featuring citrus and stone fruits on a solid, medium bodied backbone.",6.5,50,Northwest Peaks Brewery,18
Dakobed,0,IPA,"IPA, Traditional West-Coast style IPA, dry-hopped to hell with Simcoe and Mandarina hops.","Traditional West-Coast style IPA, dry-hopped to hell with Simcoe and Mandarina hops.",6.5,60,Northwest Peaks Brewery,18
Eldorado,0,Pale Ale,"Pale Ale, Eldorado Pale ale has a light malt backbone and nice bitterness that would support and balance an unmistakably emphasized hop aroma and flavor.",Eldorado Pale ale has a light malt backbone and nice bitterness that would support and balance an unmistakably emphasized hop aroma and flavor.,5.5,35,Northwest Peaks Brewery,18
Dragontail Scotch,0,Scotch Ale,"Scotch Ale, Dragontail Scotch is our take on the Scottish Wee Heavy style ale. This beer packs a flavorful punch balancing a sweet booziness with notes of oak and caramel.",Dragontail Scotch is our take on the Scottish Wee Heavy style ale. This beer packs a flavorful punch balancing a sweet booziness with notes of oak and caramel.,7.2,10,Northwest Peaks Brewery,18
Sour Blonde,0,Sour,"Sour, Aged for 2 years in new oak barrels, this blonde ale is traditionally soured to deliver an impactful sour punch.","Aged for 2 years in new oak barrels, this blonde ale is traditionally soured to deliver an impactful sour punch.",5,0,Northwest Peaks Brewery,18
Flanders Red,0,Sour,"Sour, Traditionally-soured for 9 months, this sour packs a sour punch with into a medium-bodied red ale.","Traditionally-soured for 9 months, this sour packs a sour punch with into a medium-bodied red ale.",5.5,0,Northwest Peaks Brewery,18
Stuart Stout,0,Stout,"Stout, Stuart Stout is a rich, full bodied, deeply roasty interpretation of the style. It has a lot of roasted malts giving it a great stout flavor.","Stuart Stout is a rich, full bodied, deeply roasty interpretation of the style. It has a lot of roasted malts giving it a great stout flavor.",5.3,30,Northwest Peaks Brewery,18
Golden Ale,0,Ale,"Ale, One of our three year-round standard offerings. A refreshing Golden Ale, with a bright, crisp malt body and complex English hop character. Mash: 2row, Crystal  Hops: Nugget, First Gold, Aurora","One of our three year-round standard offerings. A refreshing Golden Ale, with a bright, crisp malt body and complex English hop character. Mash: 2row, Crystal  Hops: Nugget, First Gold, Aurora",4.5,31,Machine House Brewery,19
